event_name,event_url,event_summary,full_address,region,presented_by_name,start_date,start_time,end_date,end_time,event_category,price_cents,event_description,Event_City
TEDAI San Francisco 2025,https://lu.ma/tedaisanfrancisco2025,"TEDAI San Francisco (Oct 21-22, 2025) explores the transformative potential of AI, challenging attendees to consider humanity's role in shaping its future.  This unique conference unites bold thinkers from diverse fields to foster collaboration and envision a responsible AI-driven world.  Ideal for those curious about AI's impact and eager to contribute to its ethical development.","Herbst Theatre, 401 Van Ness Ave, San Francisco, CA 94102, USA",California,TEDAI San Francisco,2025-10-22,1:30 AM,"October 22, 2025",10:00 PM,Tech & AI,90000,"​TEDAI San Francisco TEDAI San Francisco is a leading TED two-day conference exploring the impact and power of Artificial Intelligence.

​
Every era has a question that defines it.
Ours is this: Are We Bold Enough?
TEDAI San Francisco is not a ""typical"" AI conference. 
We explore what’s possible when human vision meets technological power. Today’s AI is astonishing - but are we matching it with human boldness? With clarity, creativity, and courage?

​Event Dates: October 21-22, 2025
Location: Herbst Theater, San Francisco

TEDAI San Francisco brings together people like you, bold thinkers across tech, science, healthcare, and the arts — all curious about where AI is headed and how we shape it, together. 

Don’t miss it.",San Francisco
PyTorch Dev Conference,https://lu.ma/p42qung3,"Unwind and network with fellow PyTorch developers, engineers, and researchers at the post-conference meetup in San Francisco on October 23rd, 2025. Enjoy snacks, AI demos, and connect with peers in a relaxed atmosphere.  Registration opens soon—save the date!",San Francisco,,Intel AI Summit,2025-10-24,6:30 AM,"October 23, 2025",9:00 PM,Networking & Community,0,"​🎉PyTorch Dev Conference Networking Meetup🎉
📅 23, October, 2025
📍San Francisco

​Need a break from the conference chaos? Come hang with us!  

​We’ve got snacks!🍿 
We’ve got AI demos!  
And, even better-you can bring your friends! 

​Join us and your favorite devs, engineers, and researchers for an evening of fun and networking! 

​👉 Registration opens soon—save the event to be the first to know when sign-ups go live!",San Francisco
ODSC WEST 2025 | The Leading AI Training Conference,https://lu.ma/sq3pugjd,"ODSC WEST 2025 offers intensive, hands-on AI training from leading instructors at OpenAI, Google, and Microsoft, catering to all skill levels.  Network with industry leaders and accelerate your AI career through workshops, talks, and expo activities.  Ideal for AI professionals, beginners, and anyone seeking to advance their skills in this rapidly growing field.","Hyatt Regency San Francisco Airport, 1333 Old Bayshore Hwy, Burlingame, CA 94010, USA",California,ODSC (Open Data Science Conference),2025-10-28,9:30 PM,"October 30, 2025",5:00 PM,Tech & AI,14900,"​Are you ready to experience the leading technical AI conference at the heart of the AI boom? Accelerate your professional development with hands-on training, talks, workshops, networking events, 10+ tracks, and more.

​Focus areas:

​First 50 speakers will be announced soon. Check it out here - https://odsc.com/california/

​✔️ Hands-on training from instructors at OpenAI, Google, Microsoft & more
✔️ Beginner to advanced sessions across key AI domains
✔️ Real-world tools, workflows, and code you’ll use on the job

​Take advantage of exceptional networking opportunities throughout the AI Expo. Meet and connect with fellow AI practitioners, innovators, and industry leaders during structured networking sessions, spontaneous meetups, and community-building activities.

​Some useful links:
• Get free access to more talks/trainings like this at Ai+ Training platform:
https://hubs.li/H0Zycsf0
• ODSC blog: https://opendatascience.com/
• Slack Channel: https://hubs.li/Q038cQBy0
• Code of conduct: https://odsc.com/code-of-conduct/",San Francisco
AI Workshops at Cloudflare,https://lu.ma/r7li11we,"Learn cutting-edge AI tools and techniques at Cloudflare's workshops, hosted by Bay Area Builders.  This event is perfect for builders and tech enthusiasts eager to implement new AI technologies and network with peers.  Hands-on learning and community engagement are key highlights.","Cloudflare, 101 Townsend St, San Francisco, CA 94107, USA",California,[SF] Bay Area Builders,2025-10-29,6:30 AM,"October 28, 2025",9:00 PM,Tech & AI,0,"Presented by
[SF] Bay Area Builders
Subscribe
Bringing together the hottest tech for the community. Hear from great speakers, learn how to implement new tools, and show off what you're building with them!",San Francisco
AI INFRA SUMMIT 4,https://lu.ma/aiinfra_4,"AI INFRA SUMMIT 4 in San Francisco focused on the critical infrastructure needs fueling the rapid advancement of AI, featuring 40+ speakers exploring topics like sustainable energy, GPU orchestration, and multi-cloud strategies.  The summit targeted AI/ML engineers, enterprise tech leaders, investors, and developers building the future of AI infrastructure.","San Francisco, CA, USA",California,Ignite Community,2025-10-29,9:00 PM,"October 29, 2025",5:30 PM,Tech & AI,19900,"​The Infrastructure Era Is Now
📍 San Francisco, CA

​​AI keeps rollin’. Infra keeps turnin’.
AI is moving faster than any tech cycle in history—and infrastructure is the throttle. From data centers and GPUs to energy, orchestration, and edge compute, the real AI race is being run beneath the surface.

​​Join us for the next chapter of AI INFRA SUMMIT—where the builders, architects, and visionaries behind the intelligent economy gather to shape what’s next.

​

​🔥 What to Expect

​​🎤 40+ Speakers from hyperscalers, enterprises, AI-native startups, and capital powerhouses
🔬 Deep Dives into token economics, GPU orchestration, liquid cooling, GenAI stacks & more
🤝 High-Impact Networking across CXO roundtables, partner breakouts, and dev-led sessions
🎶 Afterparty Vibes—network with purpose, then unwind with music, cocktails, and future legends

​​🧠 Who Should Attend

​​AI/ML Engineers & Infra Architects

​​Enterprise Tech Leaders & CIOs

​​Infra Vendors & Cloud Providers

​​Strategic Investors & Hyperscaler VCs

​​Developers scaling LLMOps, agents, or distributed AI

​​If you’re building the future—this is where your stack meets your strategy.

​

​🔍 Core Themes

​​AI Infrastructure at Scale – How to meet surging demand while staying efficient, fast, and green

​​Ecosystem & Optionality – Why multi-cloud, multi-silicon, and modular design win

​​Infra as Strategy – Infrastructure is no longer a cost center—it’s your competitive edge

​​Energy & Sustainability – How next-gen infra powers AI without melting the grid

​​Join us for the next chapter of AI INFRA SUMMIT—where the builders, architects, and visionaries behind the intelligent economy gather to shape what’s next.

​",San Francisco
SF Awesome AI Dev Tools - November,https://lu.ma/hpl3ukn3,"This November's San Francisco event showcases cutting-edge AI development tools, perfect for developers eager to explore the latest advancements.  The evening features demos and networking, offering a unique opportunity to learn about and interact with innovative AI technologies.  Attend to discover game-changing AI dev tools and connect with fellow enthusiasts.","GitHub, 88 Colin P Kelly Jr St, San Francisco, CA 94107, USA",California,Open Source for AI,2025-11-11,6:30 AM,"November 10, 2025",8:00 PM,Tech & AI,0,"​You probably already know that AI is changing the world. Come learn about some of the awesome AI dev tools being worked on.

​Agenda

​5:00 - 5:30: Arrival

​5:30 - 5:35: Intro

​5:40 - 6:10: TBA

​6:15 - 6:30: TBA

​6:35 - 6:50: TBA

​7:00 - 7:30: Demos!

​7:30 - End: Post Talk Networking",San Francisco
AI Workshops at Cloudflare,https://lu.ma/x04okonh,"Learn to leverage cutting-edge AI tools at Cloudflare's workshops, hosted by SF Bay Area Builders.  This event is perfect for builders and tech enthusiasts eager to implement new AI technologies and network with peers.  Hands-on learning and expert insights are key highlights.","Cloudflare, 101 Townsend St, San Francisco, CA 94107, USA",California,[SF] Bay Area Builders,2025-11-13,6:30 AM,"November 12, 2025",8:00 PM,Tech & AI,0,"Presented by
[SF] Bay Area Builders
Subscribe
Bringing together the hottest tech for the community. Hear from great speakers, learn how to implement new tools, and show off what you're building with them!",San Francisco
[SF] AI After Hours w/ Encord @ GitHub HQ,https://lu.ma/710l9bjs,"Join fellow AI enthusiasts at GitHub HQ for an evening of lightning talks from industry experts and networking, hosted by Encord and sponsored by GitHub.  The event focuses on AI data management and accessibility, ideal for AI professionals and developers. Pizza and networking opportunities are included!","GitHub, 88 Colin P Kelly Jr St, San Francisco, CA 94107, USA",California,Artificially Intelligent,2025-11-20,7:00 AM,"November 19, 2025",8:30 PM,Tech & AI,0,"​​Join us at GitHub HQ - connect with fellow AI enthusiasts, learn from industry experts, & enjoy a slice of pizza 🍕 (Here is a recap of the last event!)

​Agenda

​5:30pm: Doors open
6pm - 8:00pm: Lightning talks ⚡
8:00pm - 8:30pm: Networking

​Hosts

​Encord is a multimodal data platform for AI. With Encord, AI teams can easily manage, curate, and label petabytes of images, videos, audio, documents, text, and DICOM files on one unified platform while benefiting from AI-assisted speed and accuracy with human-in-the-loop workflows.

​ 🤔 Learn more here
🤳 Follow Encord on LinkedIn
​​ 📈 We’re hiring! Join our team

​

​GitHub is proud to support AI After Hours. GitHub believes in the power of local communities and is committed to enabling the next generation of developers. Whether you’re building in open source or teaching yourself how to code, with GitHub Copilot's free plan and Agent Mode, GitHub is making AI coding assistance more accessible than ever. Thank you to GitHub for supporting our community and continuing to center developer happiness.",San Francisco
SF Awesome AI Dev Tools - December,https://lu.ma/nyc3ndx7,"This December's San Francisco event explores cutting-edge AI developer tools, showcasing demos and offering networking opportunities.  Perfect for developers and AI enthusiasts eager to learn about the latest innovations shaping the future of AI.  The agenda features several TBA sessions, promising a dynamic and insightful experience.","GitHub, 88 Colin P Kelly Jr St, San Francisco, CA 94107, USA",California,Open Source for AI,2025-12-09,6:30 AM,"December 08, 2025",8:00 PM,Tech & AI,0,"​You probably already know that AI is changing the world. Come learn about some of the awesome AI dev tools being worked on.

​Agenda

​5:00 - 5:30: Arrival

​5:30 - 5:35: Intro

​5:40 - 6:10: TBA

​6:15 - 6:30: TBA

​6:35 - 6:50: TBA

​7:00 - 7:30: Demos!

​7:30 - End: Post Talk Networking",San Francisco
AI Workshops at Cloudflare,https://lu.ma/9o2xzdsw,"Learn cutting-edge AI tools and techniques at Cloudflare's workshop series, hosted by Bay Area Builders.  This event is perfect for builders and developers eager to implement AI in their projects and network with peers.  Expect insightful talks and hands-on learning opportunities.","Cloudflare, 101 Townsend St, San Francisco, CA 94107, USA",California,[SF] Bay Area Builders,2025-12-11,6:30 AM,"December 10, 2025",8:00 PM,Tech & AI,0,"Presented by
[SF] Bay Area Builders
Subscribe
Bringing together the hottest tech for the community. Hear from great speakers, learn how to implement new tools, and show off what you're building with them!",San Francisco
Strategic Applied Longevity Translation Symposium,https://lu.ma/50cqu4e5,"The Strategic Applied Longevity Translation Symposium (Jan 15th) unites scientists, founders, and investors to explore cutting-edge longevity research, covering AI, epigenetics, and regenerative medicine.  An optional luxury retreat (Jan 16-18) offers exclusive access to experts and personalized longevity assessments. Ideal for scientists, investors, and anyone passionate about extending healthy lifespan.",Santa Clara County,,,2026-01-15,10:00 PM,"January 15, 2026",5:30 PM,Education & Research,19900,"​Strategic Applied Longevity Translation Symposium -Jan 15

​
This event brings together scientists, founders, and investors to explore cutting-edge longevity science. Hear from Stanford faculty and leaders in longevity.

​Topics include:

​1. AI and Aging

​2. Nutrition impact on epigenetics

​3. Female aging science

​4. Regenerating the Thymus for immune boosting

​5. What ageotype are you ?

​6. Vibecoding for vitality

​7. Investing in aging science - the venture and public landscape.

​

​Optional: Longevity Retreat at 5-Star Hotel @Half Moon Bay -Jan 16-18

​
Join an exclusive 2-night Longevity Retreat from Friday, Jan. 16 to Sunday, 18th following the symposium, including hotel accommodation and food. Limited to 20–30 guests, the retreat includes:
– Private workshops with longevity experts
– Daily health-focused meals and movement sessions
– Hands-on trials of science-backed products
– Full body MRI scan and other tests

​A rare chance to experience the science of longevity—personally.",San Francisco
$1M ARR+ Consumer D2C Private Dinner,https://lu.ma/pevfa5q9,"Exclusive Silicon Valley dinner for 10 high-growth D2C/consumer tech founders ($1M+ ARR or Series A+), fostering networking, tactical discussions on scaling, and potential partnerships.  Hosted by GLO and OWOW, this event prioritizes collaborative growth among peers.  Ideal for ambitious founders seeking strategic connections and actionable insights.",,,Global Entrepreneurs Hub,2025-07-04,6:30 AM,"July 03, 2025",8:00 PM,Networking & Community,0,"​Limited 10 People – RSVP

​An intimate private dinner exclusively for founders of high-growth D2C and consumer tech brands with $1M+ ARR or Series A+ funding. This curated evening brings together top consumer founders scaling next-gen products and platforms across e-commerce, marketplaces, and consumer apps.

​Guests will pay for their own dinner.

​Hosts & Sponsors.

​👑 ""GLO"" Global Entrepreneurs Hub | Silicon Valley's High-Traction Tech Community Builder. Exclusive Events, Private Slack Communities & over $4.6M+ in Member-Only B2B SaaS Perks. Apply to Join.

​​👑 OWOW | Hire world-class software developers, globally vetted by Generative AI. Global payroll, compliance, and benefits—all managed for you on a single platform. ​​​Hiring software engineers in the U.S., India, or LATAM? Book a call.

​Agenda.

​6:00 PM - 6:30 PM: Dinner & Networking

​6:30 PM - 8:00 PM: Open Networking

​Why Attend?

​Connect with Consumer Leaders: Network with peers shaping the future of lifestyle, health, fashion, food, wellness, and more.

​Tactical Conversations: Discuss what’s working across paid acquisition, retention, operations, and scaling logistics.

​Collaborative Growth: Explore partnerships, cross-promotions, and funding opportunities.

​#D2CFounders #ConsumerTech #StartupNetworking #SeriesAPlus #GLOEvents #DirectToConsumer #ScalingBrands",San Francisco
$1M ARR+ Agnostic Private Dinner,https://lu.ma/z52orj1g,"This exclusive dinner connects 10 high-growth founders ($1M+ ARR or Series A+ funding) across diverse sectors for peer-to-peer networking and strategy sharing.  The event fosters cross-industry collaboration and deep connections among ambitious, proven entrepreneurs. Ideal for founders seeking to expand their network beyond their specific industry.",,,Global Entrepreneurs Hub,2025-07-11,6:30 AM,"July 10, 2025",8:00 PM,Networking & Community,0,"​Limited 10 People – RSVP

​An exclusive, cross-sector dinner for high-traction founders who’ve crossed the $1M ARR milestone or raised Series A+ funding. Whether you're building in SaaS, consumer tech, fintech, health, marketplaces, or frontier tech—this is a space for serious operators to connect.

​Agnostic by design. Curated by traction. Unified by ambition.

​Guests will pay for their own dinner.

​Hosts & Sponsors.

​👑 ""GLO"" Global Entrepreneurs Hub | Silicon Valley's High-Traction Tech Community Builder. Exclusive Events, Private Slack Communities & over $4.6M+ in Member-Only B2B SaaS Perks. Apply to Join.

​​👑 OWOW | Hire world-class software developers, globally vetted by Generative AI. Global payroll, compliance, and benefits—all managed for you on a single platform. ​​​Hiring software engineers in the U.S., India, or LATAM? Book a call.

​Agenda.

​6:00 PM - 6:30 PM: Dinner & Networking

​6:30 PM - 8:00 PM: Open Networking

​Why Attend?

​Expand your founder circle beyond your vertical

​Cross-pollinate strategies across different industries

​Deep convos, trusted peers, real takeaways

​#FounderDinner #GLOEvents #CrossSectorFounders #SeriesAPlus #StartupNetworking #TechCommunity #HighTractionBuilders #ScalingTogether",San Francisco
Startup Pitch Salon | Investor Feedback + Audience Vote,https://lu.ma/286zei9y,"This Startup Pitch Salon connects early-stage founders with investors and audience for feedback and voting, offering coaching prizes to winning pitches.  The event uniquely combines investor insights, audience participation, and a strong community focus.  Founders, investors, and anyone interested in the startup ecosystem are encouraged to attend.",,,WeShine,2025-07-28,2:30 AM,"July 27, 2025",4:30 PM,Startup & Entrepreneurship,0,"​🚀 WeShine Entrepreneurship Salon and EntreConnect

​are excited to co-host a highly curated startup pitch event, bringing together top early-stage founders, seasoned investors, and engaged audiences for an event of insight, feedback, and community.

​🌟 What to Expect

​Live Startup Pitches: Hand-selected startups present their ventures on stage

​Investor Feedback: Renowned investors share real-time insights and advice

​Audience Voting: Cast your vote for the most promising pitch of the event

​Award Session: Winning teams will receive exclusive coaching opportunities

​💡 Startups – Apply to Pitch!

​Want to get on stage and pitch in front of real investors and an engaged audience?
📥 Submit your pitch deck by July 17
📢 Final selections announced on July 21
👉 Apply Here: https://forms.gle/CdshPpKDRrDQUmf67

​🧠 Winner Perks

​The top startups—selected by investor feedback and audience votes—will win a 1:1 coaching session with WeShine Advisor Group, featuring Investors, Stanford Business Coach, Business model strategists and more.

​💼 Investors: Join the WeShine Investor Advisory Group

​We are forming a powerful Investor Advisor Group to support early-stage founders. Benefits include:
✔️ Early access to top-tier pitch decks
✔️ Recognition as a Featured Guest Investor
✔️ Community Impact Award from WeShine

​👉 Interested? Please let ue know. https://forms.gle/X5WdMbLphs1NgvHNA

​🎟 Audience – Be Part of the Action

​Attend the event to:

​Hear some of the most promising new startups

​Learn from expert feedback

​Vote for your favorite pitches

​Connect with the local founder-investor community

​🌐 Organizers
​🌳 About EntreConnect

​​​​EntreConnect is a dynamic community of entrepreneurs and investors, founded in 2023 to empower those building and scaling businesses. We understand the challenges and isolation of the entrepreneurial journey and exist to bridge that gap through world-class events, unparalleled speakers, and transformative connections. We have brought together 15,000+ entrepreneurs, operators, business leaders, and investors through our events — fostering collaboration, exchanging insights, and fueling innovation across the global startup ecosystem. Follow our LinkedIn for upcoming events.

​​👉 Sign up here to secure exclusive early access 💌 and join a community that empowers your entrepreneurial spirit!

​WeShine

​A Bay Area-based nonprofit startup community, WeShine has hosted 100+ pitch events and founder meetups, connecting startups with investors, mentors, and critical resources. With a supporting community, We Shine together.

​🌐 WeShine Youtube: https://www.youtube.com/@WeShineOrganization",San Francisco
Flume AI + Shovels: Happy Hour,https://lu.ma/k2x8hw6t,"Network with peers in architecture, construction, and design at Flume AI & Shovels' ""Happy Hour,"" fostering collaboration and idea-sharing on challenges and innovations in the built environment.  This relaxed event prioritizes genuine conversation over typical networking, attracting those building the future of construction.  Enjoy drinks, bites, and insightful dialogue with like-minded professionals.",,,,2025-07-11,6:00 AM,"July 10, 2025",7:30 PM,Networking & Community,0,"​Building What’s Next: An Evening with Flume AI & Shovels

​Join us for an evening designed for the builders, thinkers, and doers shaping what comes next in the built environment.

​This isn’t your typical networking event - it’s a chance to connect with peers across development, construction, architecture, and design in a relaxed setting built for real conversation. We’re creating space to trade ideas, compare notes, and explore shared challenges - from sourcing materials to embracing new tools and tech.

​What’s in store:

​A thoughtful, curated crowd

​Refreshing drinks & small bites

​Candid dialogue with people who get it

​If you're building the future, this is where you want to be.",San Francisco
Start and operate a CVC-Fund with maximum ROI @DLA Piper,https://lu.ma/xk04bok1,"This October 27th DLA Piper event helps corporations launch or optimize their Corporate Venture Capital (CVC) arms for maximum ROI.  It uniquely blends interactive workshops with expert insights from Pitch Global, focusing on practical strategies and process improvements.  Ideal for existing CVCs seeking enhanced performance and corporate leaders exploring CVC establishment.","DLA Piper, 3203 Hanover St Suite 100, Palo Alto, CA 94304, USA",California,Pitch Global Investor Events,2025-10-28,1:00 AM,"October 27, 2025",6:00 PM,Finance & Business,0,"​Monday OCTOBER 27th, 2025
​Balancing Corporate Mandates and ROI
​An interactive program for:

​Existing CVCs that want to improve processes and structures

​Corporate management that is interested in establishing a CVC arm

​Program Detail Brochure

CVC_Masterclass.pdf
646.0 KB
​CVCs are often bound by Corporate Rules

​Pitch Global is the leading provider of a CVC ecosystem. We are offering CVCs to have a trusted environment as well as thought leadership, in terms of Formation, Operation and Investment.

​We partnered with DLA Piper in order to facilitate a long-term programming that will inspire Corporates that want to create a CVC arm, as well as existing CVCs that want to improve their processes.

​Other CVC themed events allow for the interaction of Startups with CVCs in a smaller setting as compared to the interaction less environments found with 1000s of attendees.

​Only in Silicon Valley can you find this type of leadership.",San Francisco
Customer Discovery Workshop - Full Day - SF,https://lu.ma/customerdiscoveryworkshop,"This full-day San Francisco workshop provides founders and early-stage teams with a tactical, step-by-step playbook for conducting effective customer discovery interviews.  Attendees will learn to define their ideal customer, create interview scripts and mockups, and develop a scalable process for product validation. A $50 donation covers food and drink.","Mission Dolores Manor - Tech Founders' Coliving, 822 S Van Ness Ave, San Francisco, CA 94110, USA",California,Mission Dolores Manor,2025-06-29,10:30 PM,"June 29, 2025",7:00 PM,Startup & Entrepreneurship,0,"​Full day customer discovery workshop.

Expect highly tactical step by step activities:
- Customer Discovery Goal Setting and Key Questions
- Defining Your Core Customer
- Rapid mockup creation
- Interview script writing

This workshop will get you set up to run your own customer discovery interviews that can be scaled up and made your own.

By the end of the workshop you'll have the playbook to fast track your customer discovery process, give direction to your product, and make tangible progress with your business.

Perfect for:
- Non-technical founders validating ideas
- Technical founders looking for product direction/early customers
- Early stage teams looking for a roadmap

$50 donation covers food and drink for the day.",San Francisco
Mini-Inception at Crowell,https://lu.ma/f3wah4fw,Join us for Mini-Inception at Crowell!  Pre-registration is required (24-hour deadline) for security and to guarantee a free lunch.  This event is open to all who register in advance.,,,Mini-Inceptions,2025-07-01,9:30 PM,"July 01, 2025",5:00 PM,Networking & Community,0,"​Lunch will be provided on a first come, first served basis. Lunch will only be ordered for those who sign up 24 hours in advance. Please register for the event for security reasons.",San Francisco
Mini-Inception at Crowell,https://lu.ma/by7ncdr4,"""Mini-Inception"" at Crowell offers a casual lunch gathering;  RSVP 24 hours in advance is mandatory for catering and security. This event is open to all who register, but space is limited due to the catered lunch.",,,Mini-Inceptions,2025-07-08,9:30 PM,"July 08, 2025",5:00 PM,Networking & Community,0,"​Lunch will be provided on a first come, first served basis. Lunch will only be ordered for those who sign up 24 hours in advance. Please register for the event for security reasons.",San Francisco
Open-source AGI Hackathon,https://lu.ma/AGIhackathon,"An invite-only open-source AGI hackathon, fueled by AMD's H100 & A100 GPUs, challenges builders to advance open-source AGI research and development.  Prizes will be awarded for projects demonstrating progress on key AGI benchmarks like ARC-AGI. This event is ideal for ambitious AI developers passionate about open-source and the democratization of AGI.","170 St Germain Ave, San Francisco, CA 94114, USA",California,DEMi: Democratize Intelligence,2025-06-28,11:30 PM,"June 29, 2025",8:00 PM,Hackathon,0,"​A free, invite-only hackathon for ambitious builders making a more open future for AI.

​This Deep Tech week, we recognize that AGI is deep tech: Welcome to the DEMi x AGI House open-source AGI Hackathon!

​Let's give AGI to the people. We'll be working on AGI-directed research, implementing projects using open-source tools.

​Come hack with the creators of OpenHermes, the founder of AGI House, and many more champions of open-source AI projects!

​We're excited to offer a prize for ARC-AGI, as well as other noteworthy general intelligence benchmarks, to be presented at the end of the hackathon for the winning open-source hacks.

​And let's give many thanks to our compute sponsor, AMD! They'll be furnishing the hackathon with H100 and A100 GPUs on demand.

​Schedule:

​Saturday, June 28th

​12:00PM - Arrival & Speakers

​Jeremy Nixon, Founder of Omniscience & AGI House

​12:45PM - Hacker Lightning Talks
1:00PM - Hacking begins!
5:30PM - Dinner

​Sunday, June 29th

​9:00AM - Breakfast
1:00PM - Lunch
6:00PM - Dinner
8:00PM - Demos
10:00PM - Winner Announcements
10:15PM - Adjourn",San Francisco
Mini-Inception at Crowell,https://lu.ma/8mpq560u,"Join us for Mini-Inception at Crowell!  Pre-registration is required for security and to guarantee a free lunch (first-come, first-served).  This event is open to all who register 24 hours in advance.",,,Mini-Inceptions,2025-07-15,9:30 PM,"July 15, 2025",5:00 PM,Networking & Community,0,"​Lunch will be provided on a first come, first served basis. Lunch will only be ordered for those who sign up 24 hours in advance. Please register for the event for security reasons.",San Francisco
Mini-Inception at Crowell,https://lu.ma/lh8jcf3r,"Join us for Mini-Inception at Crowell!  Pre-registration is required for security and lunch (first-come, first-served). This event is open to those who RSVP 24 hours in advance.",,,Mini-Inceptions,2025-07-22,9:30 PM,"July 22, 2025",5:00 PM,Networking & Community,0,"​Lunch will be provided on a first come, first served basis. Lunch will only be ordered for those who sign up 24 hours in advance. Please register for the event for security reasons.",San Francisco
Caffeine & Capital presented by Startup Intros,https://lu.ma/caffeine-capital,"Caffeine & Capital is a pre-day networking event for early-stage founders, investors, and ecosystem builders to foster authentic connections and provide startup guidance.  Hosted by Startup Intros & Context VC, it features informal presentations, refreshments, and valuable mentorship opportunities. Ideal for aspiring founders, investors, and those in the startup ecosystem seeking collaboration.","Digital Garage US, Inc., 717 Market St #100, San Francisco, CA 94103, USA",California,"Context, Community, Connections, & Capital",2025-07-02,9:30 PM,"July 02, 2025",11:00 AM,Networking & Community,0,"​Join us for Caffeine & Capital, a relaxed gathering where early-stage founders, investors, and ecosystem builders come together for meaningful conversations before the day begins.

​Hosted by Startup Intros & Context VC, the point of this event is to make authentic connections and provide startup guidance. Mornings offer clarity, energy, and intention, and we’re here to make the most of it.

​You’ll enjoy cold brew, tea, and fresh pastries, plus a room full of sharp minds ready to connect. If you'd like, you can share what you’re building in front of the room. No pressure, just a way to test the waters and get constructive feedback.

​Startup Intros

​At Startup Intros, we’re here to help early-stage and aspiring founders figure out their next step, whether that’s turning an idea into an MVP, connecting with the right investors, or raising your first round of capital.

​Context Ventures

​​​Context Ventures is an SF-based pre-seed & seed venture capital firm that invests in military veteran founders and consumer startups at the pre-seed stage.

​Who It’s For

​Aspiring or early-stage startup founders

​Pre-seed and seed-stage team members

​Investors, angels, and early check writers

​Community builders, advisors, and collaborators",San Francisco
AdvancingVC Live Podcast with Amanda Robson of Modern Technical Fund and Networking,https://lu.ma/advancingvcrobby,"AdvancingVC's live podcast featured Amanda Robson of Modern Technical Fund, discussing her $22M fund and insights on supporting technical founders from pre-seed to market fit.  The event included networking and candid advice on go-to-market strategy, pricing, and team building.  Ideal for founders seeking funding, investors seeking insights, and anyone interested in the startup ecosystem.","Digital Garage US, Inc., 717 Market St #100, San Francisco, CA 94103, USA",California,"Context, Community, Connections, & Capital",2025-07-07,10:30 PM,"July 07, 2025",12:30 PM,Finance & Business,0,"​🎙️ Live Podcast Interview: Amanda Robson from Code to Company: Investing in Technical Founders

​Join us for an exclusive live podcast recording with Amanda Robson (“Robby”), the founder and solo General Partner of Modern Technical Fund (MTF), a San Francisco–based pre‑seed and seed venture firm investing in deeply technical enterprise startups.

​Agenda:

​10:00 - 10:30 AM: Networking

​10:30 - 11:30 AM: Live Podcast with Amanda Robson

​11:30AM - 12:00 PM: Networking

​About Our Guest:
Amanda Robson (aka Robby) is the founder and solo GP of Modern Technical Fund (MTF), which closed a $22M debut fund earlier this year to back technical founders in tooling, data infrastructure, security, and applied AI. Based in San Francisco, she’s known for her founder-first, always-on support, from early product strategy to first customer traction .

​Previously, Amanda was a Partner at Cowboy Ventures and an investor at Norwest Venture Partners, and began her career in enterprise software M&A at William Blair.

​What to Expect:
Expect candid, tactical insights on supporting technical founders from Day 0; covering early go-to-market moves, pricing, team-building, and forging product-market fit. Amanda’s passion lies in unpacking what truly makes a technical startup take off.

​Hosted by:

​Tim Hsia, Context Ventures - Army Officer-turned VC, who Invests in military veteran founders and consumer startups.

​Dev Chandra, Startup Intros - Navy Officer who helps early-stage founders find the right investors through AI and data.

​AdvancingVC - Podcast hosted by Tim Hsia featuring convos with top VCs, LPs, and founders to talk all things VC.

​Whether you're a founder seeking funding, an investor looking for insights, or simply curious about the startup ecosystem, this is a rare opportunity to hear from one of venture capital's most experienced and successful practitioners.",San Francisco
