event_name,event_url,event_summary,full_address,region,presented_by_name,start_date,start_time,end_date,end_time,event_category
Secrets of AI Go To Market - 0 to $100M at Glean with AJ Tennant (Head of Sales @ Glean),https://lu.ma/1wy78zpd,"Join AJ Tennant (Glean & Slack) for an exclusive dinner on June 18th in San Francisco, learning his secrets to scaling AI companies to $100M+ ARR.  This intimate AMA is perfect for AI-native founders, enterprise sellers, and those aiming for rapid growth.  Target audience:  Entrepreneurs & sales leaders building or scaling AI businesses.","350 Townsend St, San Francisco, CA 94107, USA",California,ODDBIRD VC Events,"June 18, 2025",7:00 PM,"June 18, 2025",9:00 PM,Startup & Entrepreneurship
AI and The Future of Strategy,https://lu.ma/6otwx1gq,"Explore the transformative impact of AI on strategic decision-making with leading futurists Ross Dawson, John Hagel, and Charlene Li.  This event focuses on human-AI collaboration in strategy,  augmented leadership, and real-time adaptive strategies, ideal for C-suite executives, board members, and strategy professionals.  Networking and lunch included.","Hotel Zoe Fisherman's Wharf, 425 North Point St, San Francisco, CA 94133, USA",California,,"June 19, 2025",12:00 PM,"June 19, 2025",2:00 PM,Tech & AI
Qdrant AI Builders: Agentic Memory with MCP @ AWS Loft with n8n and Tensorlake,https://lu.ma/1wut4vn9,"Learn to build intelligent AI agents with persistent memory using Qdrant, MCP, and cutting-edge technologies like n8n and Tensorlake.  This event features live demos and expert insights on building scalable, context-aware AI systems surpassing traditional RAG limitations. Ideal for LLM engineers, AI product builders, and agent framework developers.","525 Market St, San Francisco, CA 94105, USA",California,,"June 19, 2025",5:00 PM,"June 19, 2025",8:30 PM,Tech & AI
Monthly Robotics & AI Meetup,https://lu.ma/l73eqq3g,"The San Francisco Frontier Makerspace hosts a robotics and AI meetup (5:30-7:30 PM) showcasing live demos from Bay Area hackathon winners and a ""bring-your-own-bot"" show-and-tell.  All skill levels are welcome to network, share ideas, and experience cutting-edge robotics.","Frontier Tower | Berlinhouse, 995 Market St, San Francisco, CA 94103, USA",California,Frontier Makerspace,"June 19, 2025",5:30 PM,"June 19, 2025",7:30 PM,Networking & Community
Web data context for AI agents: SF community meetup by Apify,https://lu.ma/i457vccc,"San Francisco Apify users and AI enthusiasts are invited to a casual meetup featuring Apify's CTO and engineers.  Enjoy food, drinks, networking, and discussions on AI and web data automation, plus exclusive Apify swag.  Perfect for builders, creators, and anyone interested in AI applications.","San Francisco Brewing Co., 3150 Polk St, San Francisco, CA 94109, USA",California,Apify Events,"June 19, 2025",6:00 PM,"June 19, 2025",8:15 PM,Other
AI Agent Founder Dinner,https://lu.ma/yzmysgdw,,"Pacific Heights, San Francisco, CA, USA",California,Agents and the Future,"June 19, 2025",6:30 PM,"June 19, 2025",9:00 PM,Other
YC* AI Startup School Afterparty,https://lu.ma/rhxka1cs,"An exclusive afterparty for technically-minded young founders and YC AI Startup School attendees fosters collaboration and knowledge sharing,  featuring food, drinks, and a relaxed, non-commercial atmosphere.  Approval required;  come prepared to discuss your AI projects.","The Paramount, 680 Mission St, San Francisco, CA 94105, USA",California,,"June 20, 2025",5:30 PM,"June 20, 2025",10:30 PM,Startup & Entrepreneurship
AI Insiders: Cybersecurity,https://lu.ma/csecurity,"An exclusive AI Insiders salon focused on cybersecurity brought together top FBI agents, VCs, founders, and CISOs to discuss the evolving threat landscape of AI-driven attacks.  The event featured keynotes, panels, and interactive demos showcasing cutting-edge AI security solutions and fostering collaboration.  Ideal for AI founders, cybersecurity leaders, investors, and enterprise builders seeking to navigate this rapidly changing field.","AWS GenAI Loft, 525 Market St, San Francisco, CA 94105, USA",California,Marvelous: Exclusive Events Curated by Top Hosts,"June 20, 2025",6:00 PM,"June 20, 2025",9:30 PM,Networking & Community
Festa AI: Stress-Free Wedding Guest Communication,https://lu.ma/9enicspg,"Festa AI is a stress-free wedding planning tool that manages guest communication via text, eliminating the chaos of answering repetitive questions and tracking RSVPs.  Key features include instant Q&A, mass text blasts, registry support, and guest engagement insights, all accessible via a simple text interface.  Ideal for busy couples planning any size wedding who want to enjoy their engagement rather than manage logistics.","South Park, San Francisco, CA 94107, USA",California,,"June 20, 2025",6:00 PM,"June 20, 2025",8:00 PM,Tech & AI
Viva Frontier Tower Pop-up Village,https://lu.ma/viva-frontier-tower,"Viva Frontier Tower's pop-up village (June 20 - August 4, 2025) unites leading entrepreneurs and scientists in San Francisco to foster frontier tech innovation across AI, crypto, and longevity.  This immersive 6-week program features workshops, summits, a hackathon, and co-working spaces, targeting ambitious professionals seeking cross-disciplinary collaboration.  Limited scholarships are available; apply now at VivaFrontier.com.","Frontier Tower | Berlinhouse, 995 Market St, San Francisco, CA 94103, USA",California,Viva City,"June 20, 2025",6:00 PM,"August 04, 2025",12:00 PM,Networking & Community
FLUX.1 Kontext AI Hackathon with Black Forest Labs and Replicate,https://lu.ma/air6b63y,"The FLUX.1 Kontext AI Hackathon, hosted by Black Forest Labs and Replicate, challenges participants to create innovative AI-powered projects using a new image-to-image model.  All skill levels are welcome to build generative art, experiment with visual effects, and compete for prizes.  This event is ideal for developers, designers, and anyone curious about creative AI applications.","930 Alabama St, San Francisco, CA 94110, USA",California,Replicate,"June 21, 2025",10:00 AM,"June 21, 2025",6:00 PM,Hackathon
YC: How to Start a Deep Tech Startup,https://lu.ma/dtw-yc-2025,"YC Partner Jared Friedman demystifies deep tech startup creation, offering invaluable insights for aspiring founders in AI, biotech, and related fields.  This event provides actionable advice and unique perspectives on navigating the challenges and securing funding for complex technological ventures.  Ideal for ambitious entrepreneurs with cutting-edge technologies seeking to launch successful deep tech companies.","70 Pier, San Francisco, CA 94107, USA",California,Deep Tech Week,"June 23, 2025",2:00 PM,"June 23, 2025",5:00 PM,Startup & Entrepreneurship
AI Inference - Challenges and Opportunities,https://lu.ma/ci4don4h,"Dria hosts an evening focused on AI inference challenges and opportunities, featuring talks on efficient inference across diverse hardware, scaling reinforcement learning, and future specialized AI hardware.  Bay Area AI builders, researchers, engineers, and product enthusiasts are invited for networking and insightful discussions.  Enjoy pizza, drinks, and expert speakers like Junda Chen from Snowflake.","Studio 45, 45 29th St, San Francisco, CA 94110, USA",California,Dria.co,"June 23, 2025",5:00 PM,"June 23, 2025",9:00 PM,Other
National Security & Defense: From AI Warfare to Smell Cyborgs,https://lu.ma/dtw25-defense,,"1 Beach St, San Francisco, CA 94133, USA",California,Deep Tech Week,"June 23, 2025",5:30 PM,"June 23, 2025",8:00 PM,Other
VB Transform,https://lu.ma/tp0fdyaj,"VB Transform 2025 is a paid, two-day conference for enterprise leaders focused on practical, large-scale implementation of agentic AI.  Attendees will network with 600+ peers and hear from 50+ industry experts in 50+ sessions, boasting a 90% positive attendee rating in 2024.  Use code VBTRLuma25 for 25% off tickets at VBTransform.com.","Fort Mason Center for Arts & Culture, 2 Marina Blvd, San Francisco, CA 94123, USA",California,,"June 24, 2025",8:00 AM,"June 25, 2025",6:00 PM,Tech & AI
AI ENTERPRISE FORUM,https://lu.ma/angellaunchjune24,"The AI Enterprise Forum, hosted by Angel Launch, connects AI startups across diverse sectors (automotive, fintech, biotech, etc.) with investors and corporate partners.  Key features include keynote talks, panel discussions, a venture forum pitch competition judged by prominent investors, and extensive networking opportunities.  This event is ideal for AI startups seeking funding, investors looking for promising ventures, and corporations exploring AI partnerships.","49 S Van Ness Ave, San Francisco, CA 94103, USA",California,,"June 24, 2025",9:00 AM,"June 24, 2025",2:00 PM,Startup & Entrepreneurship
Physics of Consciousness,https://lu.ma/valis-2025,"Leading physicists and biologists explore the science of consciousness, examining quantum computation in the brain, orchestrated objective reduction, and novel theories of visualization.  The event features presentations from pioneers like Stuart Hameroff and Rajnish Khanna, bridging modern science with ancient philosophy.  Ideal for those interested in the intersection of physics, biology, and the nature of consciousness.","1 Beach St, San Francisco, CA 94133, USA",California,Deep Tech Week,"June 24, 2025",12:00 PM,"June 24, 2025",4:00 PM,Education & Research
Space Frontiers,https://lu.ma/lkdyh39t,"Space Frontiers explores the future of space infrastructure, showcasing cutting-edge technologies like AI-powered satellites, high-speed laser communication, and advanced power systems.  The event connects industry leaders, investors, and policymakers to accelerate innovation and partnerships in this burgeoning field.  Ideal for space technology developers, investors, and policy professionals seeking to shape the future of space.","Wilson Sonsini Goodrich & Rosati, One Market Plaza, Spear Tower #3300, San Francisco, CA 94105, USA",California,Altair,"June 24, 2025",1:00 PM,"June 24, 2025",4:00 PM,Tech & AI
The Embodied Age: Capturing Value in Mechatronics 2.0,https://lu.ma/dtw-robotics-fpsolutions,"Explore the burgeoning field of Mechatronics 2.0, where AI-powered robots are poised to revolutionize industry.  This event features leading investors, startups, and live robot demos showcasing the future of this potentially trillion-dollar market. Ideal for investors, entrepreneurs, and anyone interested in the next industrial revolution.","1 Beach St, San Francisco, CA 94133, USA",California,Deep Tech Week,"June 24, 2025",1:00 PM,"June 24, 2025",4:00 PM,Tech & AI
From Open Source to SaaS: Turning AI Innovation into Scalable Products,https://lu.ma/4nwzwq0i,"This event provides expert insights and real-world case studies on successfully transitioning open-source AI projects into scalable SaaS businesses.  Attendees will learn about building cloud-native AI applications, monetization strategies, and avoiding common scaling pitfalls, targeting founders, engineers, and business leaders.  Networking opportunities with industry experts are included.","525 Market St, San Francisco, CA 94105, USA",California,Omnistrate Events,"June 24, 2025",1:30 PM,"June 24, 2025",6:00 PM,Tech & AI
Built on Bedrock Demo Night,https://lu.ma/4qh19l1c,"Local startups showcase innovative Generative AI applications built on Amazon Bedrock at this demo night in San Francisco on June 24th.  Network with fellow AI enthusiasts and witness cutting-edge demos;  demo opportunities available for qualifying startups.  Ideal for Gen AI professionals, investors, and anyone interested in the latest advancements.","AWS GenAI Loft, 525 Market St, San Francisco, CA 94105, USA",California,,"June 24, 2025",5:00 PM,"June 24, 2025",7:30 PM,Tech & AI
"Customer-Centric Retail: Agile, Intelligent, and Intent-Powered",https://lu.ma/k5hcedg6,"This event launches UnAbandon AI, an AI-native platform revolutionizing retail operations by providing real-time, cross-functional intelligence.  Attendees will learn how to leverage AI for proactive, data-driven decision-making, moving beyond reactive tactics and improving margins.  Ideal for retail leaders, data specialists, investors, and AI developers seeking to gain a competitive edge.","Galvanize Coworking - San Francisco, 44 Tehama St, San Francisco, CA 94105, USA",California,Foundry Square AI Meetup,"June 24, 2025",5:00 PM,"June 24, 2025",7:00 PM,Tech & AI
Night of Neurotech,https://lu.ma/night-of-neurotech-2025,"""Night of Neurotech"" showcases cutting-edge neuroscience advancements in human augmentation, featuring leading scientists and founders like Ying-Hui Fu and Nathalie Gouailhardou.  This exclusive event, ideal for investors and neuroscience enthusiasts, explores future technologies impacting sleep, cognitive enhancement, and even life extension.","1 Beach St, San Francisco, CA 94133, USA",California,Deep Tech Week,"June 24, 2025",5:00 PM,"June 24, 2025",8:00 PM,Tech & AI
AgentCon 2025 in San Francisco @GitHub Office,https://lu.ma/w2rcixzo,"AgentCon 2025 in San Francisco offers free, expert-led sessions and workshops on building and deploying AI agents, featuring speakers from Microsoft, Neon, and leading AI startups.  This event is perfect for developers seeking practical knowledge and networking opportunities within the burgeoning AI agent field.  Hands-on learning, live demos, and expert meetups make this a unique opportunity.","275 Brannan St, San Francisco, CA 94107, USA",California,,"June 24, 2025",5:30 PM,"June 24, 2025",8:30 PM,Tech & AI
AI For Marketers #26,https://lu.ma/ai-for-marketers-26,"AI For Marketers #26 explores leveraging AI for enhanced marketing strategies, featuring talks on generative AI and agentic AI's transformative power in content, data, and automation.  This event is ideal for marketers seeking to improve efficiency and results through AI-powered tools and networking with peers.","972 Mission St, San Francisco, CA 94103, USA",California,AI User Group,"June 24, 2025",6:00 PM,"June 24, 2025",8:00 PM,Marketing & Branding
Molecules & Materials Meetup - Deeptech Happy Hour,https://lu.ma/2dpllaxe,"The San Francisco Molecules & Materials Meetup (MMM) connects researchers, industry professionals, and investors in molecular sciences during Deep Tech Week.  This happy hour fosters networking and discussions on breakthrough research (catalysts, batteries, etc.), benefiting from free tickets for those who need it and supporting Young Professionals in Energy.  Target audience: professionals in materials science, chemistry, biotechnology, and energy.","Financial District, San Francisco, CA, USA",California,Azulene Labs Events,"June 24, 2025",6:15 PM,"June 24, 2025",8:00 PM,Networking & Community
DeployCon: A GenAI Mini-Summit in SF,https://lu.ma/DeployCon,,"AWS GenAI Loft, 525 Market St, San Francisco, CA 94105, USA",California,Predibase,"June 25, 2025",9:30 AM,"June 25, 2025",2:00 PM,Other
Building Cities of the Future,https://lu.ma/dtw25-scc,,"1 Beach St, San Francisco, CA 94133, USA",California,Deep Tech Week,"June 25, 2025",1:00 PM,"June 25, 2025",4:00 PM,Other
Playground Global: Next-Gen Compute,https://lu.ma/dtw2025-playground,,"1 Beach St, San Francisco, CA 94133, USA",California,Deep Tech Week,"June 25, 2025",1:00 PM,"June 25, 2025",4:00 PM,Other
Future Forward: San Francisco,https://lu.ma/v3duxbhx,"The Future Forward summit in San Francisco (June 25th) explored AI's impact on human potential, featuring keynote speakers, panel discussions, and a fireside chat with industry leaders.  This Wonder Women Tech event offered networking opportunities and aimed to inspire tech enthusiasts, entrepreneurs, and innovators.  Attendees gained insights into AI's transformative power and its ethical considerations.","Quantcast, 795 Folsom St Floor 5, San Francisco, CA 94107, USA",California,,"June 25, 2025",3:30 PM,"June 25, 2025",8:30 PM,Tech & AI
"Agentic Transformation: Lessons, Landmines & Breakthroughs",https://lu.ma/g5mu4b18,"Learn to build enterprise-ready AI agents from prompt to production at ""Agentic Transformation,"" featuring hands-on demos, builder stories, and a panel of AI leaders.  This event is perfect for developers and business teams seeking practical experience and best practices in agentic systems.  Network with peers and experts while exploring the future of AI.","The Interval at Long Now, Center Building A, 2 Marina Blvd, San Francisco, CA 94123, USA",California,,"June 25, 2025",5:00 PM,"June 25, 2025",9:00 PM,Tech & AI
"Cookies, Consent, and Data Flows: Examining the Role of AI in Modern Privacy Programs",https://lu.ma/SF-privacy-panel,"This June 25th panel discussion explores the impact of evolving privacy laws and AI on data management and consent, focusing on cookie compliance and cross-functional collaboration.  Experts from Meta, Snowflake, and leading privacy firms share practical strategies and lessons learned, offering actionable insights for legal, privacy, and IT professionals.  Ideal for those navigating the complexities of data governance and AI's role in privacy programs.","Ketch, 140 New Montgomery St, San Francisco, CA 94105, USA",California,Ketch Calendar,"June 25, 2025",5:00 PM,"June 25, 2025",7:30 PM,Tech & AI
AI GTM Exec Dinner (Invite Only),https://lu.ma/ai-gtm-dinner,"Exclusive invite-only dinner for GTM leaders to network, share real-world AI implementation strategies, and explore AI-driven growth.  Focus on becoming ""AI-native"" within organizations.  Limited spots available; future events planned.","La Mar Cocina Peruana San Francisco, PIER 1 1/2 The Embarcadero N, San Francisco, CA 94111, USA",California,GrowthX,"June 25, 2025",6:00 PM,"June 25, 2025",9:00 PM,Networking & Community
San Francisco n8n Meetup,https://lu.ma/6zbnge6y,"The San Francisco n8n Meetup connects automation enthusiasts of all levels to network, learn, and share n8n expertise.  A live demo of the hackathon-winning Reflekt project (a real-time speech-to-insight tool) is a key highlight.  Ideal for developers, builders, and anyone interested in workflow automation.","972 Mission St, San Francisco, CA 94103, USA",California,,"June 25, 2025",6:00 PM,"June 25, 2025",9:00 PM,Networking & Community
"Finding PMF by Solving Problems with Areeb Malik, Founder of Glacier",https://lu.ma/lgl5yqmf,"Glacier founder Areeb Malik shares his $16M Series A funded company's secrets to achieving product-market fit by prioritizing customer conversations and problem-solving.  This founder-to-founder event offers actionable insights on validating assumptions and building successful tech. Ideal for founders, product managers, and anyone seeking to accelerate their product's success.","350 California St, San Francisco, CA 94104, USA",California,,"June 25, 2025",6:30 PM,"June 25, 2025",8:30 PM,Startup & Entrepreneurship
AI Grid Tech Coffee Meetup,https://lu.ma/c72kx7mj,"The AI Grid Tech Coffee Meetup fosters collaboration among Bay Area energy and AI/ML professionals, focusing on practical solutions for applying AI to power grids.  This bi-weekly event prioritizes open dialogue and peer learning, excluding formal presentations or sales pitches. Ideal for IT, analytics, and innovation professionals in the energy sector seeking to leverage AI.","9Zero Climate Innovation Hub, 350 California St 4th floor, San Francisco, CA 94104, USA",California,Integ Utility Intelligence,"June 26, 2025",9:00 AM,"June 26, 2025",10:00 AM,Networking & Community
AI Infrastructure and Energy,https://lu.ma/dtw2025-ai-infra,"This event explores the crucial intersection of AI and its energy infrastructure, featuring insights from leading founders (including D-Matrix's Sid Sheth) and prominent investors managing billions in AUM.  Attendees will gain exclusive knowledge on cutting-edge hardware and early-stage companies, perfect for investors, entrepreneurs, and anyone interested in the future of AI.","1 Beach St, San Francisco, CA 94133, USA",California,Deep Tech Week,"June 26, 2025",12:00 PM,"June 26, 2025",4:00 PM,Tech & AI
Atoms & Algorithms: The Physical AI Startup Showcase,https://lu.ma/rqwv77l3,,"SVB Experience Center, 532 Market St, San Francisco, CA 94104, USA",California,Alumni Ventures,"June 26, 2025",4:00 PM,"June 26, 2025",7:30 PM,Other
Tech Weekend June 2025 | 3 Days | 100 Founders | 75 VCs | San Francisco,https://lu.ma/bci3sv5q,,"Zo House, 300 4th St, San Francisco, CA 94107, USA",California,Tech Weekend by Founders Village,"June 26, 2025",4:00 PM,"June 28, 2025",7:00 PM,Other
VC Mixer [75 Founders + 25 Investor | June 2025 | San Francisco,https://lu.ma/k91y6bks,,"EL DORADO Latin Fusion, 701 Folsom St, San Francisco, CA 94107, USA",California,Tech Weekend by Founders Village,"June 26, 2025",4:00 PM,"June 26, 2025",8:00 PM,Other
"Founder Therapy: AI Agents in Ops—Cut the Noise, Find the Value",https://lu.ma/okjgwdck,"This ""Founder Therapy"" event cuts through the AI hype, offering real-world insights from operators on successfully implementing AI agents in business operations.  Expert panelists will share practical strategies, addressing implementation challenges, ROI, and team skill development, avoiding costly mistakes.  Founders, operators, and technologists seeking tangible AI solutions—not future promises—are the ideal audience.","Galvanize Coworking - San Francisco, 44 Tehama St, San Francisco, CA 94105, USA",California,ScaleSpark.ai,"June 26, 2025",5:00 PM,"June 26, 2025",7:00 PM,Tech & AI
AI Agents + Full Stack Demo Night @Convex,https://lu.ma/l1dty3ed,"Convex's June Demo Night showcased the latest in AI agent development and full-stack application building, featuring talks and demos on AI code generation and ""vibe coding.""  This in-person event was ideal for developers interested in AI, full-stack development, and networking with peers.  Registration required.","Convex, 444 De Haro St #218, San Francisco, CA 94107, USA",California,Convex.dev,"June 26, 2025",5:30 PM,"June 26, 2025",8:00 PM,Tech & AI
"Alljoined Open Lab: Drop In, Talk BCI, See the Tech",https://lu.ma/bmrj654k,"Explore cutting-edge non-invasive brain-computer interface (BCI) technology at Alljoined's open lab, showcasing AI-powered decoding of brain signals into various modalities.  Network with leading researchers from Neuralink, Microsoft, and Stanford, and witness firsthand their advancements in image reconstruction and cognitive decoding.  Ideal for those interested in neuroscience, AI, and BCI development.","573 4th Ave, San Francisco, CA 94118, USA",California,,"June 26, 2025",6:00 PM,"June 26, 2025",9:30 PM,Tech & AI
Build Games Meetup - San Francisco,https://lu.ma/aqrssass,"Network with fellow developers, enjoy classic arcade games, and explore AI developer tools at the AWS Build Games Meetup in San Francisco.  This 21+ event offers food, drinks, and engaging discussions on building with AI.  Ideal for developers interested in AI and game development.","Emporium Arcade Bar, 616 Divisadero St, San Francisco, CA 94117, USA",California,AWS Build Games Meetups,"June 26, 2025",6:00 PM,"June 26, 2025",10:00 PM,Networking & Community
✨ Product Try-AI-thon,https://lu.ma/4xzz5jkd,"Explore and test cutting-edge AI products hands-on at the inaugural Product Try-AI-thon!  This ""choose-your-own-adventure"" event lets you discover the AI landscape, share insights, and network with fellow enthusiasts. Ideal for anyone curious about AI tools across various fields.","298 Alabama St, San Francisco, CA 94103, USA",California,,"June 26, 2025",6:00 PM,"June 26, 2025",10:00 PM,Tech & AI
Democratize Intelligence Summit #3,https://lu.ma/DEMi3,"Democratize Intelligence Summit #3 is a free, invite-only event bringing together 500+ AI leaders to foster open, democratic AI development.  The two-day summit features expert speakers, hackathons, policy workshops, and networking opportunities across research, model development, and infrastructure tracks.  Ideal for ambitious engineers, researchers, and founders committed to shaping the future of AI.","1 Beach St, San Francisco, CA 94133, USA",California,DEMi: Democratize Intelligence,"June 27, 2025",11:00 AM,"June 27, 2025",6:00 PM,Tech & AI
AI Networking Walk San Francisco (Startups & Investors),https://lu.ma/18dez0b1,,"2 Marina Blvd, San Francisco, CA 94123, USA",California,techtrust.ai,"June 28, 2025",10:00 AM,"June 28, 2025",11:30 AM,Other
